,time,experience,pace,conditionals,importing,functions,slicing,loops,df_variables,objects,dataframe_methods,list_comprehensions,dictionaries,internet_data
0,2016-09-28 13:59:51,,Just about right,0,0,0,0,0,0,0,0,0,0,0
1,2016-09-28 13:59:55,,Too fast,0,0,0,0,1,1,0,1,0,1,1
2,2016-09-28 13:59:56,,Just about right,0,0,0,0,0,0,0,0,0,0,0
3,2016-09-28 14:07:10,,Too fast,0,0,0,0,0,1,0,1,0,0,1
4,2016-09-28 14:30:53,0.0,Too fast,0,0,0,0,1,1,0,1,1,0,1
5,2016-09-28 14:33:00,1.0,Just about right,0,0,0,0,0,0,0,0,0,0,0
6,2016-09-28 14:36:23,1.0,Just about right,0,0,0,0,0,0,0,0,0,0,0
7,2016-09-28 14:49:06,1.0,Too slow,0,0,0,0,0,0,0,0,0,0,0
8,2016-09-28 15:29:29,1.0,Too fast,0,1,0,0,0,1,0,1,1,0,1
9,2016-09-28 16:02:26,0.0,Too fast,1,1,1,0,1,1,0,1,1,0,1
10,2016-09-28 16:30:25,0.0,Too fast,1,0,0,1,1,0,0,1,1,0,0
11,2016-09-28 17:24:43,0.0,Too fast,1,0,0,1,1,0,1,0,1,0,0
12,2016-09-28 18:46:23,1.0,Just about right,0,0,0,0,0,0,0,0,0,0,0
13,2016-09-28 18:48:47,0.0,Too fast,0,0,1,0,0,0,0,1,0,0,0
14,2016-09-28 21:27:21,0.0,Just about right,0,0,0,0,0,0,0,0,0,0,0
15,2016-09-28 21:28:57,0.0,Just about right,0,0,0,0,0,0,0,0,0,0,0
16,2016-09-29 01:32:09,0.0,Too fast,0,1,1,0,0,1,0,1,0,0,1
17,2016-09-29 02:32:19,0.0,Too fast,0,1,1,0,0,1,0,1,0,0,1
18,2016-09-29 21:01:09,0.0,Just about right,0,0,0,0,0,0,0,0,0,0,0
